Designation,Team,Player Name,Ranking
Batter,Chennai Super Kings,Ruturaj Gaikwad,110
Middle order Batter,Chennai Super Kings,Dewald Brevis,70
Wicketkeeper Batter,Chennai Super Kings,MS Dhoni,129
Wicketkeeper Batter,Chennai Super Kings,Kartik Sharma,
Middle order Batter,Chennai Super Kings,Sarfaraz Khan,
Top order Batter,Chennai Super Kings,Ayush Mhatre,74
Wicketkeeper Batter,Chennai Super Kings,Urvil Patel,132
Wicketkeeper Batter,Chennai Super Kings,Sanju Samson,90
Allrounder,Chennai Super Kings,Aman Khan,
Allrounder,Chennai Super Kings,Shivam Dube,75
Allrounder,Chennai Super Kings,Zak Foulkes,
Bowling Allrounder,Chennai Super Kings,Ramakrishna Ghosh,
Bowling Allrounder,Chennai Super Kings,Anshul Kamboj,89
Bowling Allrounder,Chennai Super Kings,Jamie Overton,196
Allrounder,Chennai Super Kings,Matthew Short,
Bowling Allrounder,Chennai Super Kings,Prashant Veer,
Bowler,Chennai Super Kings,Khaleel Ahmed,47
Bowler,Chennai Super Kings,Rahul Chahar,179
Bowler,Chennai Super Kings,Nathan Ellis,175
Bowler,Chennai Super Kings,Shreyas Gopal,
Bowler,Chennai Super Kings,Gurjapneet Singh,
Bowler,Chennai Super Kings,Matt Henry,
Bowler,Chennai Super Kings,Akeal Hosein,
Bowler,Chennai Super Kings,Mukesh Choudhary,172
Bowler,Chennai Super Kings,Noor Ahmad,10
Wicketkeeper Batter,Delhi Capitals,Abishek Porel,71
Top order Batter,Delhi Capitals,Ben Duckett,
Middle order Batter,Delhi Capitals,David Miller,154
Top order Batter,Delhi Capitals,Karun Nair,97
Top order Batter,Delhi Capitals,Pathum Nissanka,
Top order Batter,Delhi Capitals,Sahil Parakh,
Wicketkeeper Batter,Delhi Capitals,KL Rahul,29
Middle order Batter,Delhi Capitals,Nitish Rana,81
Opening Batter,Delhi Capitals,Prithvi Shaw,
Batter,Delhi Capitals,Tristan Stubbs,69
Allrounder,Delhi Capitals,Axar Patel,27
Allrounder,Delhi Capitals,Ajay Mandal,
Allrounder,Delhi Capitals,Sameer Rizvi,118
Allrounder,Delhi Capitals,Ashutosh Sharma,82
Allrounder,Delhi Capitals,Madhav Tiwari,178
Bowler,Delhi Capitals,Auqib Nabi,
Bowler,Delhi Capitals,Dushmantha Chameera,142
Bowler,Delhi Capitals,Kyle Jamieson,106
Bowler,Delhi Capitals,Kuldeep Yadav,7
Bowler,Delhi Capitals,Mukesh Kumar,77
Bowler,Delhi Capitals,T Natarajan,199
Bowler,Delhi Capitals,Lungi Ngidi,114
Bowler,Delhi Capitals,Vipraj Nigam,23
Bowler,Delhi Capitals,Mitchell Starc,56
Bowler,Delhi Capitals,Tripurana Vijay,
Top order Batter,Gujarat Titans,Shubman Gill,6
Wicketkeeper Batter,Gujarat Titans,Anuj Rawat,
Wicketkeeper Batter,Gujarat Titans,Tom Banton,
Wicketkeeper Batter,Gujarat Titans,Jos Buttler,25
Wicketkeeper Batter,Gujarat Titans,Kumar Kushagra,
Top order Batter,Gujarat Titans,Sai Sudharsan,3
Batter,Gujarat Titans,M Shahrukh Khan,91
Bowling Allrounder,Gujarat Titans,Jason Holder,
Allrounder,Gujarat Titans,Glenn Phillips,
Bowling Allrounder,Gujarat Titans,Rashid Khan,51
Allrounder,Gujarat Titans,Nishant Sindhu,
Bowling Allrounder,Gujarat Titans,Manav Suthar,
Bowling Allrounder,Gujarat Titans,Rahul Tewatia,140
Bowling Allrounder,Gujarat Titans,Washington Sundar,103
Bowler,Gujarat Titans,Arshad Khan,98
Bowler,Gujarat Titans,Ashok Sharma,
Bowler,Gujarat Titans,Gurnoor Brar,
Bowler,Gujarat Titans,Mohammed Siraj,24
Bowler,Gujarat Titans,Prasidh Krishna,5
Bowler,Gujarat Titans,Prithvi Raj,
Bowler,Gujarat Titans,Kagiso Rabada,153
Bowler,Gujarat Titans,Sai Kishore,32
Bowler,Gujarat Titans,Ishant Sharma,148
Bowler,Gujarat Titans,Luke Wood,
Bowler,Gujarat Titans,Jayant Yadav,
Top order Batter,Kolkata Knight Riders,Ajinkya Rahane,46
Top order Batter,Kolkata Knight Riders,Finn Allen,
Wicketkeeper Batter,Kolkata Knight Riders,Tejasvi Dahiya,
Top order Batter,Kolkata Knight Riders,Manish Pandey,141
Middle order Batter,Kolkata Knight Riders,Rovman Powell,182
Top order Batter,Kolkata Knight Riders,Angkrish Raghuvanshi,83
Middle order Batter,Kolkata Knight Riders,Ramandeep Singh,159
Opening Batter,Kolkata Knight Riders,Sarthak Ranjan,
Wicketkeeper Batter,Kolkata Knight Riders,Tim Seifert,
Middle order Batter,Kolkata Knight Riders,Rinku Singh,100
Top order Batter,Kolkata Knight Riders,Rahul Tripathi,163
Allrounder,Kolkata Knight Riders,Daksh Kamra,
Allrounder,Kolkata Knight Riders,Cameron Green,
Bowling Allrounder,Kolkata Knight Riders,Sunil Narine,4
Allrounder,Kolkata Knight Riders,Rachin Ravindra,112
Allrounder,Kolkata Knight Riders,Anukul Roy,157
Bowler,Kolkata Knight Riders,Akash Deep,136
Bowler,Kolkata Knight Riders,Vaibhav Arora,39
Bowler,Kolkata Knight Riders,Harshit Rana,49
Bowler,Kolkata Knight Riders,Kartik Tyagi,
Bowler,Kolkata Knight Riders,Blessing Muzarabani,
Bowler,Kolkata Knight Riders,Matheesha Pathirana,73
Bowler,Kolkata Knight Riders,Prashant Solanki,
Bowler,Kolkata Knight Riders,Umran Malik,
Bowler,Kolkata Knight Riders,Varun Chakravarthy,30
Bowler,Kolkata Knight Riders,Mustafizur Rahman,108
Wicketkeeper Batter,Lucknow Super Giants,Rishabh Pant,119
Batter,Lucknow Super Giants,Abdul Samad,116
Middle order Batter,Lucknow Super Giants,Akshat Raghuwanshi,
Batter,Lucknow Super Giants,Ayush Badoni,87
Batter,Lucknow Super Giants,Matthew Breetzke,183
Middle order Batter,Lucknow Super Giants,Mukul Choudhary,
Batter,Lucknow Super Giants,Himmat Singh,181
Wicketkeeper Batter,Lucknow Super Giants,Josh Inglis,52
Middle order Batter,Lucknow Super Giants,Aiden Markram,37
Wicketkeeper Batter,Lucknow Super Giants,Nicholas Pooran,14
Allrounder,Lucknow Super Giants,Wanindu Hasaranga,53
Allrounder,Lucknow Super Giants,Arshin Kulkarni,
Allrounder,Lucknow Super Giants,Mitchell Marsh,20
Allrounder,Lucknow Super Giants,Shahbaz Ahmed,166
Bowler,Lucknow Super Giants,Akash Singh,102
Bowler,Lucknow Super Giants,Avesh Khan,40
Bowler,Lucknow Super Giants,Mohammed Shami,124
Bowler,Lucknow Super Giants,Mohsin Khan,
Bowler,Lucknow Super Giants,Anrich Nortje,171
Bowler,Lucknow Super Giants,Prince Yadav,117
Bowler,Lucknow Super Giants,Digvesh Rathi,21
Bowler,Lucknow Super Giants,Manimaran Siddharth,158
Bowler,Lucknow Super Giants,Arjun Tendulkar,
Bowler,Lucknow Super Giants,Naman Tiwari,
